text
Especialização gratuita em Docência do IFMS abre 70 vagas https://t. co/jpYhozmVWG,Especialização gratuita em Docência do IFMS abre 70 vagas https://t. co/jpYhozmVWG
Estiver hoje dia 14 de julho de 2023  como Representante Geral dos Estudantes do IFB e Militante do PT na inauguração do Centro de Formação Tecnológica (CFT) do Instituto Federal de Brasília no IFB Campus Ceilândia.  https://t. co/f8QJPLvFrO,Estiver hoje dia 14 de julho de 2023  como Representante Geral dos Estudantes do IFB e Militante do PT na inauguração do Centro de Formação Tecnológica (CFT) do Instituto Federal de Brasília no IFB Campus Ceilândia.  https://t. co/f8QJPLvFrO
Hoje como Representante Geral dos Estudantes do IFB  estiver a honra de receber  a deputada federal @erikakokay  e o articulador político e institucional do movimento “Todos pela Educação”  @ProfIsrael  na inauguração do CFT do IFB Campus Ceilândia.  https://t,Hoje como Representante Geral dos Estudantes do IFB  estiver a honra de receber  a deputada federal @erikakokay  e o articulador político e institucional do movimento “Todos pela Educação”  @ProfIsrael  na inauguração do CFT do IFB Campus Ceilândia.  https://t
Agradeço muito a professora e Reitora @massukado e também o professor Ricardo Frangiosi de Moura por toda dedicação ao longo da minha trajetória no IFB desde 2018 onde eu comecei no IFB Campus Ceilândia foi uma gestão muito amiga e trabalhadora para nós estudante do IFB.  https://t,Agradeço muito a professora e Reitora @massukado e também o professor Ricardo Frangiosi de Moura por toda dedicação ao longo da minha trajetória no IFB desde 2018 onde eu comecei no IFB Campus Ceilândia foi uma gestão muito amiga e trabalhadora para nós estudante do IFB.  https://t
@a_lice48 que desgraça véi  tava assistindo o jogo do ifg ai toda hora vinha um e puxava o meu braço,@a_lice48 que desgraça véi  tava assistindo o jogo do ifg ai toda hora vinha um e puxava o meu braço
✔️ O Centro de Seleção do IFG publicou ontem  13 de julho  o resultado preliminar da seleção dos cursos técnicos subsequentes 2023/2.  Os candidatos podem consultar o resultado no link ➡️ https://t. co/ErC2c74uwj https://t. co/NgN8DM3Nib,✔️ O Centro de Seleção do IFG publicou ontem  13 de julho  o resultado preliminar da seleção dos cursos técnicos subsequentes 2023/2.  Os candidatos podem consultar o resultado no link ➡️ https://t. co/ErC2c74uwj https://t. co/NgN8DM3Nib
✍🏽Candidatos selecionados para o curso técnico em Cozinha do IFG devem se matricular até 19 de julho: https://t. co/eyP6wn4SIN https://t. co/l0v1ikf2qW,✍🏽Candidatos selecionados para o curso técnico em Cozinha do IFG devem se matricular até 19 de julho: https://t. co/eyP6wn4SIN https://t. co/l0v1ikf2qW
🆙 As inscrições estarão abertas entre os dias 24 e 28 de julho e devem ser realizadas na página Estude no IFG  no campo Pós-Graduação.,🆙 As inscrições estarão abertas entre os dias 24 e 28 de julho e devem ser realizadas na página Estude no IFG  no campo Pós-Graduação.
o EM do ifb era exatamente assim escolinha mais linda do mundo ❣️,o EM do ifb era exatamente assim escolinha mais linda do mundo ❣️
COM CERTEZA ela fez historia no IFG enquanto participava de diversas oficinas (incluindo a da prof.  Deusa) pra ganhar horas,COM CERTEZA ela fez historia no IFG enquanto participava de diversas oficinas (incluindo a da prof.  Deusa) pra ganhar horas
queria uma sala do ifb agora  só pra ficar dançando livremente a tarde toda,queria uma sala do ifb agora  só pra ficar dançando livremente a tarde toda
